NOME,PONTUACAO,COMENTARIO,LOCAL,TIPO,TEMPO_ESPERA,BUSCA_ID,tempo_min_minutos,tempo_max_minutos,tempo_min,tempo_max,latitude,longitude,Bairro,bairro
Padariaopçõeslanches,,,"Av. Dos Jangadeiros, 1115 - Mucuripe, Fortaleza - CE, 60175-440",,,padaria,,,,,,,Mucuripe,
Mercadinho e Padaria Fortaleza,4.5,8 comentários,"R. José Vilar - Meireles, Fortaleza - CE, 60125-000",Supermercado,15 min,padaria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,-3.7266727,-38.5017431,Meireles,
Padaria Vó Dedé,3.0,3 comentários,"Av. Coronel Miguel Dias, 1389 - Luciano Cavalcante, Fortaleza - CE, 60810-160",Padaria,,padaria,,,,,-3.770522,-38.4874006,Luciano Cavalcante,
PADARIA LINA,5.0,2 comentários,"R. Antônio Pompeu - Centro, Fortaleza - CE, 60040-000",Padaria,,padaria,,,,,-3.7342371,-38.5324028,Centro,
Flôr do Café Confeitaria,4.6,176 comentários,"R. Rodrigues Júnior, 996 - Centro, Fortaleza - CE, 60060-000",Confeitaria,10 min,padaria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7333995,-38.5216442,Centro,
Empório do Bolo - Cidade 2000,4.5,130 comentários,"Av. Central, 248 - Cidade 2000, Fortaleza - CE, 60190-610",Confeitaria,15 min,padaria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Cidade 2000,
Pão de Mel,3.8,752 comentários,"Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068",Padaria,25 min,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7243785,-38.5093414,Meireles,
Padaria do Joao,,,"R. Central - Cajazeiras, Fortaleza - CE, 60000-000",,,padaria,,,,,,,Cajazeiras,
Chiquita Bacana,,,"R. Pedro Balbino, 158 - Cidade 2000, Fortaleza - CE, 60191-680",,,padaria,,,,,,,Cidade 2000,
Praiadomorrobranco,,,"Centro, Fortaleza - CE, 60050-040",,,padaria,,,,,-3.7281287,-38.527412,Centro,
Bolos Da Flor,,,"Alameda Telma, 106 - Cidade 2000, Fortaleza - CE, 60190-250",,,padaria,,,,,-3.7511572,-38.4709636,Cidade 2000,
"Coco Bambu Coffee Break: Cafés, Padaria, Restaurante, Drive Thru, Fortaleza CE",4.6,584 comentários,"R. Barão de Aracati, 1060 - Aldeota, Fortaleza - CE, 60115-081",$$$,"30 min a 1,5 h",padaria,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7302632,-38.5112711,Aldeota,
Panificadora Romana Praça do Ferreira,2.9,34 comentários,"R. Barão do Rio Branco, 992 - Centro, Fortaleza - CE, 60025-903",Padaria,,padaria,,,,,,,Centro,
Empório Ribeira do Porto,4.6,230 comentários,"Av. Litorânea, 1000 - Sabiaguaba, Aquiraz - CE, 61700-000",Padaria,10-45 min,padaria,45.0,45.0,0 days 00:45:00,0 days 00:45:00,,,000,
Mil Doçuras,4.7,36 comentários,"R. Vitória da Conquista, 1453 - Manuel Dias Branco, Fortaleza - CE, 60191-670",Confeitaria,,padaria,,,,,-3.759119,-38.4695786,Manuel Dias Branco,
"Pasteleria ""Maju""",,,"Rua Solon Pinheiro, 1015 - Centro, Fortaleza - CE, 60050-041",,,padaria,,,,,-3.7350347,-38.5278301,Centro,
Puro Amor - Doces e Salgados,4.0,355 comentários,"R. Sen. Pompeu, 2764 - Loja B - Benfica, Fortaleza - CE, 60025-002",$,10 min,padaria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,,,Benfica,
Cafeteria Prosa e Queijos,4.9,40 comentários,"Av. Dr. Aldy Mentor, 430 - Cidade 2000, Fortaleza - CE, 60191-106",Cafeteria,15 min,padaria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Cidade 2000,
Padaria São Raimundo,4.3,12 comentários,"R. Antônio Atualpa Rodrigues - Antonio Diogo, Fortaleza - CE",Padaria,,padaria,,,,,,,Antonio Diogo,
Padaria Pão e Pizza,4.0,8 comentários,"Av. dos Flamboyants, 95 - Cidade 2000, Fortaleza - CE, 60190-570",Padaria,,padaria,,,,,-3.7482959,-38.474763,Cidade 2000,
Lá na Lícia,,,"R. Vilebaldo Aguiar, 3000 - Manuel Dias Branco, Fortaleza - CE, 60191-375",,,padaria,,,,,-3.7492325,-38.4615844,Manuel Dias Branco,
Dream Place Ateliê,5.0,9 comentários,"R. Jaime Benévolo, 708 - José Bonifacio, Fortaleza - CE, 60050-080",Confeitaria,,padaria,,,,,-3.7383384,-38.5276107,José Bonifacio,
Cake Mania By Adriana Pessoa,4.5,24 comentários,"Alameda Nadja, 334 - Quadra 8 - Cidade 2000, Fortaleza - CE, 60190-230",Confeitaria,,padaria,,,,,,,Cidade 2000,
Padaria Armorial,4.2,10 comentários,"Av. Visconde do Rio Branco, 2565 - E - Joaquim Távora (Fortaleza), Fortaleza - CE, 60055-171",Padaria,,padaria,,,,,,,Joaquim Távora,Joaquim Távora
Padaria Sabor De Pāo,3.8,14 comentários,"R. Paulo Águiar, 1111 - Vicente Pinzon, Fortaleza - CE, 60184-310",Padaria,,padaria,,,,,-3.7261008,-38.4673671,Vicente Pinzon,
Padaria Do Trigo,1.0,Um comentário,"Av. Pintor Antônio Bandeira - Cais do Porto, Fortaleza - CE, 60180-476",Padaria,,padaria,,,,,-3.7191565,-38.4665435,Cais Do Porto,
Padaria Padoca,,,"Rua Dona Leopoldina, 1681 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-482",,,padaria,,,,,-3.7396215,-38.5223627,Joaquim Távora,Joaquim Távora
Pão de Mel,3.8,752 comentários,"Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068",Padaria,25 min,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7243785,-38.5093414,Meireles,
Pão de Açúcar,4.2,2.721 comentários,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Supermercado,15 min,padaria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Aldeota,
Pão Da Hoora Padaria,,,"R. Antônio Augusto, 630 - Meireles, Fortaleza - CE, 60110-370",,,padaria,,,,,-3.7259877,-38.5121033,Meireles,
Imperial Delicatessen,4.1,13 comentários,"Av. Bezerra de Menezes, 2485 - Parquelândia, Fortaleza - CE, 60325-105",Padaria,,padaria,,,,,-3.7364673,-38.5667265,Parquelândia,
Confeitaria Sabor E Requinte,2.0,Um comentário,"R. Barão do Rio Branco, 1980 - Centro, Fortaleza - CE",Padaria,,padaria,,,,,,,Centro,
Thalita pães e cafés,,,"Av. G, 291 - Pref. José Walter, Fortaleza - CE, 60750-060",Restaurante,15 min,padaria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Pref. José Walter,
Rei Dos Pasteis E Salgados Padaria,,,"Centro, Fortaleza - CE, 60035-110",,,padaria,,,,,-3.7281287,-38.527412,Centro,
Cheirinho de Pão,5.0,Um comentário,"R. Doralice Costa, 353 - Luciano Cavalcante, Fortaleza - CE, 60810-680",Padaria,,padaria,,,,,,,Luciano Cavalcante,
Padaria,,,"R. Rev. Bolivar Pinto Bandeira, 237 - Luciano Cavalcante, Fortaleza - CE, 60811-310",,,padaria,,,,,,,Luciano Cavalcante,
Santeq Store Equipamentos,,,"Av. Dom Manuel, 1211 - Centro, Fortaleza - CE, 60060-091",Equipamentos de panificação,25 min,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,,,Centro,
Delicias da lana,,,"Rua Maria Pereira, 117 - Manuel Dias Branco, Fortaleza - CE, 60190",,,padaria,,,,,-3.7586762,-38.4699623,Manuel Dias Branco,
Paes,,,"R. Bartolomeu de Gusmão, 1025 - Fátima, Fortaleza - CE, 60415-170",,,padaria,,,,,-3.7588511,-38.5217779,Fátima,
Confeitaria Pra Sentir,5.0,2 comentários,"Alameda Eliane Lúcia, 62 - Cidade 2000, Fortaleza - CE, 60190-150",Confeitaria,,padaria,,,,,-3.7495112,-38.4708611,Cidade 2000,
Padaria Fort Pão,4.1,7 comentários,"Av. Francisco Sá, 3636 - Loja 3 - Carlito Pamplona, Fortaleza - CE, 60310-001",Padaria,,padaria,,,,,,,Carlito Pamplona,
CafécumBolo,,,"R. Rodrigues Júnior - Centro, Fortaleza - CE, 60060-090",,,padaria,,,,,-3.7296096,-38.5203045,Centro,
Padaria,4.4,8 comentários,"Av. Pasteur - Carlito Pamplona, Fortaleza - CE, 60355-000",Padaria,,padaria,,,,,-3.7183564,-38.5612409,Carlito Pamplona,
Padaria,4.5,4 comentários,"Tv. Raimundo, 149 - Jacarecanga, Fortaleza - CE, 60311-040",Padaria,,padaria,,,,,,,Jacarecanga,
L'escale Shopping Central,4.4,242 comentários,"R. Sen. Pompeu, 856 - Centro, Fortaleza - CE, 60025-000",$$,,padaria,,,,,,,Centro,
Padaria,4.0,2 comentários,"Rua Virgílio Brigido, 1128 - Pres. Kennedy, Fortaleza - CE, 60355-050",Padaria,,padaria,,,,,,,Pres. Kennedy,
Panificadora DÁTOLLO,3.5,15 comentários,"R. Jacaúna, 707 - Barra do Ceará, Fortaleza - CE, 60332-530",Padaria,,padaria,,,,,-3.7021564,-38.5813324,Barra Do Ceará,
Panificadora Paneva Confeitaria,5.0,2 comentários,"R. Martins de Carvalho, 1944 - Granja Lisboa, Fortaleza - CE, 60540-178",Padaria,,padaria,,,,,,,Granja Lisboa,
Eugeni bolos e doces,5.0,3 comentários,"Alameda Telma, 298 - Cidade 2000, Fortaleza - CE, 60190-290",Loja de bolos,,padaria,,,,,-3.7516914,-38.4693207,Cidade 2000,
Pão de Mel,3.8,752 comentários,"Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068",Padaria,25 min,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7243785,-38.5093414,Meireles,
Pão de Açúcar,4.4,554 comentários,"Av. Senador Virgílio Távora, 2270 - Dionísio Torres, Fortaleza - CE, 60170-251",Supermercado,20 min,padaria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7467192,-38.4966452,Dionísio Torres,
Padaria Lorenzo,3.4,10 comentários,"R. Sen. Pompeu, 2354 - Benfica, Fortaleza - CE, 60025-002",Padaria,,padaria,,,,,,,Benfica,
Padaia,,,"Rua Tulipa - Barra do Ceará, Fortaleza - CE, 60330-520",,,padaria,,,,,-3.7139104,-38.5793105,Barra Do Ceará,
Romana,,,"R. Major Facundo, 566 - Centro, Fortaleza - CE, 60025-100",$$,25 min a 1 h,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7279357,-38.5281828,Centro,
Trigobia Comercio De Trigo Ltda,,,"R. Manoel Arruda, 120 - Messejana, Fortaleza - CE, 60842-090",,,padaria,,,,,,,Messejana,
Wg Bolos,4.3,10 comentários,"Av. Duque de Caxias, 455A - Centro, Fortaleza - CE, 60035-110",Loja de bolos,,padaria,,,,,-3.7310377,-38.532101,Centro,
IMPERIO DO BOLO GOURMET,5.0,Um comentário,"R. Barão do Rio Branco, 1308 - Centro, Fortaleza - CE, 60025-060",Loja de bolos,,padaria,,,,,-3.7296578,-38.5296148,Centro,
IMPERIO DO BOLO,4.6,7 comentários,"R. Edgar Borges, 74 - Centro, Fortaleza - CE, 60050-000",Doceria,,padaria,,,,,,,Centro,
Casa do Chocolate,4.5,842 comentários,"Av. Duque de Caxias, 425 - Centro, Fortaleza - CE, 60035-111",Loja,20 min,padaria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7325392,-38.5284206,Centro,
Lanches,4.5,2 comentários,"R. da Assunção, 25 - Centro, Fortaleza - CE, 60050-010",Cafeteria,,padaria,,,,,-3.7304724,-38.5270719,Centro,
Padaria Benfica,,,"Benfica, Fortaleza - CE, 60020-181",,,padaria,,,,,-3.741486,-38.538855,Benfica,
Ceiça Bolos,5.0,Um comentário,"Rua Solon Pinheiro, 831 - José Bonifacio, Fortaleza - CE, 60050-040",Loja de bolos,,padaria,,,,,-3.7376248,-38.5285633,José Bonifacio,
Chocolates Paloma,4.6,16 comentários,(85) 99944-2291,,,padaria,,,,,,,2291,
Deliciale_Confeitaria,,,"R. Floriano Peixoto, 171 - Centro, Fortaleza - CE, 60025-130",,,padaria,,,,,-3.7241246,-38.5258848,Centro,
Santa Maria Café,2.8,36 comentários,"(Dentro do Hospital São Camilo) 280, R. Nogueira Acioli - Centro, Fortaleza - CE",Cafeteria,,padaria,,,,,,,Centro,
Mercearia O Bené,3.0,5 comentários,"R. Vinte e Cinco de Março, 150 A - Centro, Fortaleza - CE, 60060-120","Mercado em Fortaleza, Ceará",,padaria,,,,,,,Centro,
Bomboniere,4.0,3 comentários,"R. Pedro Borges, 192 - Centro, Fortaleza - CE, 60055-110",Doceria,,padaria,,,,,-3.7282499,-38.5266302,Centro,
Rei dos Chocolates,,,"R. Pedro Borges, 192 - Centro, Fortaleza - CE, 60055-110",,,padaria,,,,,-3.7282499,-38.5266302,Centro,
kit festa fortaleza ''CACAU FESTA'',1.7,41 comentários,"bela cruz - Farias Brito, Fortaleza - CE, 60011-120",Confeitaria,,padaria,,,,,-3.7339176,-38.5416868,Farias Brito,
Amarú Cosméticos & Baby,4.8,17 comentários,"R. Pedro Pereira, 151 - Centro, Fortaleza - CE, 60035-000","Loja de cosmético em Fortaleza, Ceará",,padaria,,,,,-3.7303223,-38.5269046,Centro,
MALHY Cozinhas Industriais,4.0,Um comentário,"Rua 24 de Maio, 1019 - Centro, Fortaleza - CE, 60035-110","Loja de artigos domésticos em Fortaleza, Ceará",,padaria,,,,,-3.7305604,-38.5331002,Centro,
Pão de Mel,3.8,752 comentários,"Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068",Padaria,25 min,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7243785,-38.5093414,Meireles,
Pão de Açúcar (São Gerardo),4.3,1.995 comentários,"Av. Bezerra de Menezes, 1498/1548 - São Gerardo, Fortaleza - CE, 60325-001",Supermercado,20 min,padaria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,São Gerardo,
Jotacê Carnes & Grill - Benfica,3.9,7 comentários,"Av. Domingos Olímpio, 387 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60040-081",Açougue,,padaria,,,,,,,Joaquim Távora,Joaquim Távora
super Uchôa,4.0,3 comentários,"Fortaleza - Zone 1, Fortaleza - CE",Supermercado,,padaria,,,,,-3.7759736,-38.4779811,Zone 1,
Fortaleza Ceará,,,"Av. da Abolição - Meireles, Fortaleza - CE, 60125-160",,,padaria,,,,,-3.7271774,-38.4961525,Meireles,
Nova Oriental,3.0,Um comentário,"R. Edgar Borges, 32 - Centro, Fortaleza - CE, 60050-000","Loja em Fortaleza, Ceará",,padaria,,,,,-3.7295557,-38.527176,Centro,
Paraíba Importados,4.9,10 comentários,"Centro, Fortaleza - CE, 60050-000","Loja em Fortaleza, Ceará",,padaria,,,,,-3.7281287,-38.527412,Centro,
#Gôndolas - Instalações Comerciais,5.0,Um comentário,"R. Pedro Borges, 30 - Centro, Fortaleza - CE, 60055-110",Moveleiro,,padaria,,,,,-3.7280457,-38.5261174,Centro,
"Óticas Boris Loja 07: Óculos de Grau, Óculos de Sol e Alianças em Fortaleza CE",5.0,40 comentários,"R. Pedro Pereira, 554 - Loja 07 - Centro, Fortaleza - CE, 60035-000","Ótica em Fortaleza, Ceará",,padaria,,,,,,,Centro,
Máxima Fidelidade,,,"Palácio do Progresso - R. do Pocinho, Nº 33 - Loja 3 - Centro, Fortaleza - CE, 60055-110",,,padaria,,,,,,,Centro,
Super Lagoa,,,"Rua Solon Pinheiro, 136 - Centro, Fortaleza - CE, 60050-040",Supermercado,20 min,padaria,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7315939,-38.5269842,Centro,
Leve & natural,4.3,4 comentários,"R. Barão do Rio Branco, 2027 - José Bonifacio, Fortaleza - CE, 60025-061",Lanchonete,,padaria,,,,,-3.7359789,-38.5310789,José Bonifacio,
Lanchonete Hiper Lanche,4.0,Um comentário,"Rua General Bezerril, 593 - Centro, Fortaleza - CE, 60055-100",Lanchonete,,padaria,,,,,-3.7286162,-38.5265964,Centro,
Fortaleza,4.0,Um comentário,"R. Esperança - Vicente Pinzon, Fortaleza - CE, 60181-200",Armazém,,padaria,,,,,-3.7280471,-38.4772189,Vicente Pinzon,
Esquina das Variedades,5.0,3 comentários,"R. Pedro Pereira, 732 - Centro, Fortaleza - CE, 60035-000","Loja de variedades em Fortaleza, Ceará",10 min a 1 h,padaria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,-3.7292272,-38.529923,Centro,
Remap Elétrica e Iluminação Ltda Me,4.4,18 comentários,"R. Pedro 1, 619 A - Centro, Fortaleza - CE, 60035-100","Loja de iluminação em Fortaleza, Ceará",,padaria,,,,,,,Centro,
Dr. Visão - Ótica em Fortaleza,4.3,18 comentários,"R. Pedro Pereira, n° 530 - Loja 01 - Centro, Fortaleza - CE, 60035-000","Ótica em Fortaleza, Ceará",,padaria,,,,,,,Centro,
Shopping Dos Livros,3.3,3 comentários,"Rua General Bezerril, 420 - Centro, Fortaleza - CE, 60055-100","Livraria em Fortaleza, Ceará",,padaria,,,,,-3.7270234,-38.5266601,Centro,
PRN Comércio de Confecções,,,"Av. Duque de Caxias, 235 - Centro, Fortaleza - CE, 60035-110",,,padaria,,,,,,,Centro,
Condomínio do Edifício Atlantic Hills,4.7,15 comentários,"R. Gothardo Moraes, 155 - Papicu, Fortaleza - CE, 60190-801","Complexo de condomínio em Fortaleza, Ceará",,padaria,,,,,-3.7465813,-38.46287,Papicu,
Construmix,4.5,4 comentários,"Condomínio Edifício Gal Tiburcio - loja 4, R. São Paulo, 32 - Centro, Fortaleza - CE","Loja de ferragens em Fortaleza, Ceará",,padaria,,,,,,,Centro,
j alves e oliveira ltda,3.0,Um comentário,"R. Sen. Pompeu, 940 - Centro, Fortaleza - CE, 60025-000","Loja em Fortaleza, Ceará",15 min,padaria,15.0,15.0,0 days 00:15:00,0 days 00:15:00,,,Centro,
Pão de Mel,3.8,752 comentários,"Av. Monsenhor Tabosa, 1108 - Meireles, Fortaleza - CE, 60165-068",Padaria,25 min,padaria,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.7243785,-38.5093414,Meireles,
Pão de Açúcar,4.4,840 comentários,"Shop. Aldeota - Av. Dom Luís, 500 - Lj.40 - Aldeota, Fortaleza - CE, 60160-230",Supermercado,10 min,padaria,10.0,10.0,0 days 00:10:00,0 days 00:10:00,,,Aldeota,
Elétrica Fortaleza,5.0,3 comentários,"R. Pedro 1, 639 - Centro, Fortaleza - CE, 60035-100","Loja de materiais elétricos em Fortaleza, Ceará",,padaria,,,,,,,Centro,
A Esmeralda,4.0,6 comentários,"R. Guilherme Rocha, 250 - Centro, Fortaleza - CE, 60030-140","Loja de roupa em Fortaleza, Ceará",,padaria,,,,,-3.7267026,-38.5285616,Centro,
Fardamentos Intuito Fatal,4.0,3 comentários,"Rua Conselheiro Tristão, 622 - José Bonifacio, Fortaleza - CE, 60050-100","Loja de uniformes em Fortaleza, Ceará",,padaria,,,,,-3.7396854,-38.5271926,José Bonifacio,
Via Cosméticos,5.0,7 comentários,"R. Floriano Peixoto, 577 - Centro, Fortaleza - CE, 60025-130","Loja de cosmético em Fortaleza, Ceará",,padaria,,,,,-3.7275973,-38.526994,Centro,
Perfecta Curitiba,4.5,4 comentários,"Av. Aguanambi, 837 - Fátima, Fortaleza - CE, 60040-290","Equipamentos de panificação em Fortaleza, Ceará",,padaria,,,,,-3.743866,-38.5253432,Fátima,
Skinão das Ferragens,5.0,3 comentários,"R. São Paulo, 32 - Loja 02 - Centro, Fortaleza - CE, 60030-100","Loja de ferramentas em Fortaleza, Ceará",,padaria,,,,,,,Centro,
Precision Ótica,3.0,4 comentários,"R. da Assunção, 511 - Centro, Fortaleza - CE, 60050-010","Ótica em Fortaleza, Ceará",,padaria,,,,,-3.73462,-38.5284102,Centro,
Simag - Distribuidora de Produtos de Limpeza.,4.4,12 comentários,"Av. Visconde do Rio Branco, 1714 - Centro, Fortaleza - CE, 60055-170","Serviço de distribuição em Fortaleza, Ceará",,padaria,,,,,-3.736041,-38.5244926,Centro,
Grotta,,,"R. Floriano Peixoto, 768 - Centro, Fortaleza - CE, 60025-130",,,padaria,,,,,-3.7291039,-38.5279096,Centro,
Cirúrgica Fortaleza,2.8,5 comentários,"R. Barão do Rio Branco, 1731 - Centro, Fortaleza - CE, 60025-061","Loja de artigos hospitalares em Fortaleza, Ceará",,padaria,,,,,-3.7334651,-38.5302658,Centro,
Churros Baia,,,"Centro, Fortaleza - CE, 60050-040",,,padaria,,,,,-3.7281287,-38.527412,Centro,
Bolos Caseiros Artesanais,5.0,Um comentário,"R. Dr. Gilberto Studart, 2980 - Manuel Dias Branco, Fortaleza - CE, 60191-365",Loja de bolos,,padaria,,,,,-3.7499586,-38.4620697,Manuel Dias Branco,
Bolo do Céu,4.1,7 comentários,"Rua Joaquim Magalhães, 1049,5 Altos - Benfica, Fortaleza - CE, 60040-125",Lanchonete,,padaria,,,,,,,Benfica,
Pastelaria Araújo,,,"R. dos Cajueiros, 1577 - Dunas, Fortaleza - CE, 60191-665",,,padaria,,,,,,,Dunas,
Espaço Gourmet,,,"Av. Duque de Caxias, 101 - Centro, Fortaleza - CE, 60055-170",,,padaria,,,,,-3.7338169,-38.5252348,Centro,
1 2 3 Comercial De Presentes,,,"R. Floriano Peixoto, 809 - Centro, Fortaleza - CE, 60025-131",,,padaria,,,,,-3.7295693,-38.5275856,Centro,
Manga Rosa,,,"R. Joaquim Magalhães, 262 - Benfica, Fortaleza - CE, 60040-160",,,padaria,,,,,-3.7382829,-38.5333836,Benfica,
Lojão Do Atacadista,,,"Rua Governador Sampaio, 25 - Centro, Fortaleza - CE, 60055-050",,,padaria,,,,,,,Centro,
Limodas Industrial,3.0,2 comentários,"R. Barão do Rio Branco, 1092 - Centro, Fortaleza - CE, 60025-061","Loja de roupa em Fortaleza, Ceará",,padaria,,,,,-3.7277874,-38.529047,Centro,
Nhamy Nhamy Mercado Saudável,5.0,20 comentários,"Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180",Restaurante,"20 min a 1,5 h",delivery de comida,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,Cambeba,
Verdelima Restaurante,4.5,477 comentários,"R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055",$$,25 min a 1 h,delivery de comida,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.736604,-38.5015797,Aldeota,
Divina Comida,,,"Rua Desembargador Leite Albuquerque, 920 - Aldeota, Fortaleza - CE, 60150-100",$$,30 min,delivery de comida,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7381282,-38.4965001,Aldeota,
Delivery Menu,,,"R. Osvaldo Cruz, 2085 - Dionísio Torres, Fortaleza - CE, 60125-151",Delivery,,delivery de comida,,,,,-3.7437875,-38.5027445,Dionísio Torres,
Delivery da Silvana e Kelson,5.0,Um comentário,"Alameda Maria da Glória - Cidade 2000, Fortaleza - CE, 60190-180",Restaurante de comida caseira,,delivery de comida,,,,,,,Cidade 2000,
Saladex,,,"Rua Frei Mansueto, 160 - Meireles, Fortaleza - CE, 60175-070",$$,,delivery de comida,,,,,-3.7260327,-38.489641,Meireles,
"Carneiro do Ordones Jovita: Churrasco, Pratos Executivos, Cerveja, Restaurante, Delivery Fortaleza CE",,,"Av. Jovita Feitosa, 289 - Parquelândia, Fortaleza - CE, 60455-410",Restaurante,"1-2,5 horas",delivery de comida,,,,,,,Parquelândia,
Brasileirinho Delivery,,,"R. Costa Barros, 941 - Loja 04 e 05 - Aldeota, Fortaleza - CE, 60160-280",$,,delivery de comida,,,,,,,Aldeota,
Divina Comida,,,"Rua Torres Câmara, 135 - Aldeota, Fortaleza - CE, 60150-060",$$,"30 min a 1,5 h",delivery de comida,30.0,30.0,0 days 00:30:00,0 days 00:30:00,-3.7363088,-38.50489,Aldeota,
China In Box Praia,,,"Av. Santos Dumont, 6945 - Manuel Dias Branco, Fortaleza - CE, 60175-057",$$,15-45 min,delivery de comida,45.0,45.0,0 days 00:45:00,0 days 00:45:00,-3.7465442,-38.4665719,Manuel Dias Branco,
"Porpino Burger: Hambúrguer, Batata Frita, Hamburgueria Delivery Fortaleza CE",,,"Av. Senador Virgílio Távora, 597 - Meireles, Fortaleza - CE, 60170-265",$$,,delivery de comida,,,,,-3.7331211,-38.4916347,Meireles,
Frango Chicken Delivery,,,"R. José Vilar, 734 - Meireles, Fortaleza - CE, 60125-025",Delivery,,delivery de comida,,,,,,,Meireles,
Rafael Marmitaria Delivery,5.0,19 comentários,"R. Costa Barros, 249 - Aldeota, Fortaleza - CE, 60160-280",Restaurante de comida para viagem,,delivery de comida,,,,,,,Aldeota,
"Habib's Parque Shopping: Esfirra, Kibe, Sanduíche, Delivery, Fortaleza CE",,,"R. Dr. Gilberto Studart, 155 - Loja 34, 35 e 36 - Cocó, Fortaleza - CE, 60192-105",$$,10 min a 1 h,delivery de comida,10.0,10.0,0 days 00:10:00,0 days 00:10:00,,,Cocó,
Ceará Food,5.0,4 comentários,"R. Gonçalves Lêdo, 1541 - Loja 2 - Centro, Fortaleza - CE, 60110-261",Restaurante de comida caseira,,delivery de comida,,,,,,,Centro,
China in Box,4.5,608 comentários,"Av. Santos Dumont, 1206 - Aldeota, Fortaleza - CE, 60150-160",$$,,delivery de comida,,,,,-3.7317079,-38.5130019,Aldeota,
"NBS Burguer: Hambúrgueres, Hot Dog, Hamburgueria, Delivery, Fortaleza CE",,,"R. Beni Carvalho, 677 - Dionísio Torres, Fortaleza - CE, 60135-400",Hamburgueria,20 min,delivery de comida,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.7461328,-38.4942019,Dionísio Torres,
Comida de Vó Delivery,4.3,11 comentários,"R. Cuiabá, 190 - Jóquei Clube, Fortaleza - CE, 60510-055",Delivery,,delivery de comida,,,,,,,Jóquei Clube,
"Habib's Aldeota: Esfirra, Kibe, Sanduíche, Delivery, Fortaleza CE",,,"Av. da Abolição, 1780 - Meireles, Fortaleza - CE, 60165-080",$$,20 min a 1 h,delivery de comida,20.0,20.0,0 days 00:20:00,0 days 00:20:00,-3.725197,-38.5032795,Meireles,
Gosto Leve,,,(85) 3221-6052,,,delivery de comida,,,,,,,6052,
"Two Brothers Cocó: Pizza, Massas, Calzones, Pizzaria, Delivery, Fortaleza CE",,,"R. Batista de Oliveira, 1071 - Cocó, Fortaleza - CE, 60192-340",Pizzaria,,delivery de comida,,,,,-3.7470324,-38.4825037,Cocó,
La Forneria Delivery,,,"R. Andrade Furtado, 2115 B - Cocó, Fortaleza - CE, 60192-085",$$,,delivery de comida,,,,,,,Cocó,
Nhamy Nhamy Mercado Saudável,5.0,20 comentários,"Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180",Restaurante,"20 min a 1,5 h",delivery de comida,20.0,20.0,0 days 00:20:00,0 days 00:20:00,,,Cambeba,
Verdelima Restaurante,4.5,477 comentários,"R. Joaquim Nabuco, 1283 - Aldeota, Fortaleza - CE, 60125-055",$$,25 min a 1 h,delivery de comida,25.0,25.0,0 days 00:25:00,0 days 00:25:00,-3.736604,-38.5015797,Aldeota,
"Grow Healthy Food: Alimentação Saudável, opções Veganas em Fortaleza",4.4,91 comentários,"Stação 24h - Av. da Abolição, 2400 - Meireles, Fortaleza - CE, 60165-080",Restaurante de café da manhã,,delivery de comida,,,,,,,Meireles,
